Unnamed: 0,code,foreign_holding,foreign_room_growth,sum_foreign_net_buy_3,close,close_pct_change_5,momentum_5,volatility_5,volume,vol_MA5,volume_change_3,sharpe,sortino,price_growth_5,foreign_holding_growth,avg_volume_5,tmp_cluster,cluster_kmeans,cluster_label,leader,pca1,pca2
186,IJC,19847160.0,-0.0626840070537808,-688300.0,13400.0,0.0190114068441065,250.0,106.06601717798212,2307000.0,2451795.6,-0.2036204718212133,-0.0072813604537948,-0.008367408342237,0.0190114068441064,0.1201775382706837,2451795.6,1,0,Báo bão,,-0.7661600919875815,0.2668876542471818
187,ILB,4909539.0,0.0001425999100805,700.0,28400.0,-0.0035087719298245,-100.0,230.21728866443183,10200.0,9361.0,-0.1875099569858213,0.0282525656570425,0.0386433924613982,0.0035335689045936,0.8132438321760969,9361.0,1,0,Báo bão,,-1.2730561960656983,0.13035675415969075
188,ITC,258163.0,0.0,258163.0,17000.0,0.0493827160493827,800.0,213.8924963620744,617900.0,1069503.0,-0.5699785302438227,0.1247638308403297,0.1786110955486064,0.0759493670886076,0.0,1526427.2,1,0,Báo bão,,0.3658045769806577,-0.9699686519927198
189,ITD,426656.0,0.0145046081853545,5700.0,14900.0,0.0642857142857142,900.0,371.8198488515639,18300.0,96168.4,-0.7445026178010471,0.0414220817067092,0.0624182251506011,0.0456140350877193,0.3060644742601929,96168.4,1,0,Báo bão,,-0.04208619486419976,-0.9223436513649057
190,KBC,140622612.0,-0.0334817637300912,-3849890.205421912,33550.0,0.1568965517241378,4550.0,1380.0362314084366,15113600.0,12235495.8,-0.4127059309216802,0.0709976097949503,0.0889122616688479,0.1315345699831366,-0.0254314625922225,12235495.8,0,2,Tiềm năng,,4.948316453830468,-0.9541654897640425
191,JVC,2571799.0,0.0424385077372249,44700.0,6090.0,-0.0193236714975845,-120.0,85.90692637965812,283100.0,939373.2,-0.8956769500966582,0.1290066296551973,0.1895200115605106,-0.0240384615384615,0.7078526855293329,939373.2,1,0,Báo bão,,-1.1597398623718531,0.4207681668193008
192,KDH,338737620.0,-0.0167252568887901,-1417755.0,28100.0,0.0218181818181817,600.0,270.1851217221244,3611900.0,3836889.8,-0.3545820847968959,-0.0349303945937255,-0.0410070190255453,0.0181159420289855,-0.1009275716904155,3836889.8,1,0,Báo bão,,0.04397371289087066,1.2542997498600656
193,KDC,50906581.0,-0.0032051134567203,-80127.0,54700.0,-0.0036429872495445,-200.0,443.8468204234429,209200.0,363916.8,-0.5382856537495531,-0.0495748462829458,-0.1028239198090234,0.0148423005565862,-0.0401178492391296,363916.8,1,0,Báo bão,,-1.3378672642867149,0.2799812023415877
194,KHG,5551805.0,-0.2897166238247033,791681.0,6830.0,0.0348484848484849,230.0,56.30275304103673,7070100.0,11803223.8,-0.3003476144516648,0.0766615438309446,0.1151305952702564,0.0118518518518518,1.7306340487399885,11803223.8,1,0,Báo bão,,0.5153374394023963,1.0636628842300033
195,KHP,738885.0,0.0,738885.0,12500.0,0.0330578512396693,400.0,164.3167672515495,39500.0,50106.6,3.1335286730849727,0.00597045356025,0.006586780544923,0.016260162601626,-0.0192165253888568,255414.2,1,0,Báo bão,,-0.8770524260883312,-0.27134406739724265
196,KMR,35625719.0,0.0,0.0,3180.0,0.0095238095238094,30.0,11.40175425099138,81100.0,68755.0,3.992612656981039,-0.0029093129569493,-0.0028850988882197,0.0095238095238095,0.0056597245883173,68755.0,1,0,Báo bão,,-1.2671456174889089,0.18442501899935013
197,KOS,318393.0,0.0,0.0,39150.0,0.0077220077220077,300.0,156.5247584249853,76200.0,274802.2,-0.7593177511054959,0.0472892826493678,0.0360787680208208,0.0077220077220077,0.2066191183604171,274802.2,1,0,Báo bão,,-0.9850396888477772,-0.05510866067726957
198,L10,94243.0,0.0,0.0,21050.0,0.0023809523809523,50.0,603.7383539249486,2100.0,440.0,0.0,0.0374478464198783,0.0648965078992925,0.0023809523809523,0.0010622138661398,440.0,1,0,Báo bão,,-0.9757710747913517,-0.08769211640941514
199,KSB,4935743.0,-0.022168762727475,24800.0,19300.0,0.0812324929971988,1450.0,690.6518659932802,3369900.0,3677130.6,0.0994187914843083,0.0202057240782271,0.0263465267488039,0.0662983425414364,0.2261082747738438,3677130.6,1,0,Báo bão,,0.9097223992369462,-0.8684909065389734
200,LAF,387703.0,0.0002579959391439,0.0,20300.0,-0.0121654501216544,-250.0,215.0581316760684,900.0,3974.6,-0.2028343666961913,0.0680050579128924,0.101679677282895,0.015,0.1014446227929374,3974.6,1,0,Báo bão,,-1.1658132256971343,0.07464813975960964
201,LBM,5919805.0,-0.0057774295644842,2800.0,36000.0,0.0084033613445377,300.0,277.4887385102338,22800.0,29486.2,0.2258064516129032,0.1001752971921241,0.1372405460056851,0.0084033613445378,-0.0472583473057284,29486.2,1,0,Báo bão,,-0.7024221757164407,-0.18563491321929562
202,LDG,3832956.0,0.39843046899377,184644.0,5150.0,-0.0171755725190839,-90.0,221.87834504520717,5893800.0,8253797.6,-0.3732459676197288,0.2104117209287054,0.3361576820161104,-0.0803571428571428,0.6358545186678622,8253797.6,1,0,Báo bão,,-0.23758317300066667,1.5675578475459464
203,LCG,6704527.0,-0.1091901655096615,851000.0,10600.0,0.0392156862745098,400.0,135.09256086106296,3700000.0,3189631.0,0.1030936410229195,0.0181900147219423,0.0203730756748593,0.0341463414634146,0.7392360155429406,3189631.0,1,0,Báo bão,,-0.22017858397235282,0.06314686558912115
204,LGC,86736474.0,1.152918843505546e-06,100.0,61000.0,0.0166666666666666,1000.0,447.21359549995793,100.0,20.0,0.0,-0.0194504920473749,-0.0216771934369225,0.0032894736842105,-0.0002282255690233,45.2,1,0,Báo bão,,-0.7499782191482224,-0.018901005447598426
205,LGL,253341.0,0.0,0.0,4230.0,0.0342298288508557,140.0,47.22287581247038,81100.0,173137.4,-0.7291276306516634,0.1418340953162175,0.2299104798866328,0.0291970802919708,-0.7687927055089251,173137.4,1,0,Báo bão,,-0.3382731163371596,-0.46045560008287484
206,LHG,6155778.0,0.0101080080037045,9400.0,32800.0,0.0330708661417322,1050.0,360.5551275463896,134800.0,278106.4,-0.7377375780415534,0.00177767860791,0.0020336788458228,0.0314465408805031,-0.2974922788125,278106.4,1,0,Báo bão,,-0.49155273745499894,-0.5418257812338096
207,LIX,1798912.0,0.0032345999580616,6000.0,33400.0,0.0245398773006135,800.0,175.35677916752573,12100.0,58523.2,-0.7876373337077469,0.0236263641999762,0.0275866944159878,-0.0074294205052005,-0.124554408514867,58523.2,1,0,Báo bão,,-0.9033447752191153,-0.1575949133350843
208,LM8,43886.0,0.0,43886.0,14500.0,0.0780669144981411,1050.0,469.5742752749558,4400.0,986.8,43.0,0.0337971836221273,0.0379884881511866,0.0283687943262411,0.0,11546.8,1,0,Báo bão,,0.01687148781728365,-0.9565444949115641
209,LPB,27158869.0,-0.0330421408597972,343862.0,35350.0,0.0306122448979591,1050.0,474.86840282335874,3771200.0,3581541.8,-0.1746237963628468,0.079265873696622,0.1191736568712488,0.033625730994152,0.4361023890579246,3581541.8,1,0,Báo bão,,0.3744682191914802,-0.12655227638168334
210,LSS,526001.0,0.0,526001.0,10250.0,0.0677083333333332,650.0,318.9827581547318,381000.0,842866.0,-0.7127010998043201,-0.0136811060799847,-0.0159223782386053,0.0677083333333333,-0.0567965212713498,334750.8,1,0,Báo bão,,-0.13296645398223544,-0.874854514449495
211,MBB,836634319.8744798,0.0,17323.0,29700.0,0.1061452513966481,2850.0,1032.5938214031692,28932295.401129402,27622987.2,0.6734714848679662,0.1306148112127809,0.1522912697735953,0.083941605839416,0.1500000001216614,27622987.2,2,1,Dẫn dắt,,6.9394450254176645,4.192316155852427
212,MCM,30420.0,0.0304878048780488,900.0,29250.0,-0.0184563758389261,-550.0,256.4176280990758,29000.0,40878.6,0.4665722666127239,-0.0568826329002272,-0.0600901781933628,-0.0184563758389261,-0.96969576218844,40878.6,1,0,Báo bão,,-2.009977582971001,0.5891898460675103
213,MCP,25435.0,0.0,25435.0,29350.0,-0.0096838411445152,-287.0,154.11035007423376,17200.0,13788.0,1.356164383561644,0.0362875439947157,0.0612681716624542,0.0644857101407224,-0.0969288123557607,15678.6,1,0,Báo bão,,-1.010097588233928,-0.2206291387816968
214,MDG,300.0,0.0,0.0,15500.0,0.0689655172413792,1000.0,547.7225575051662,200.0,100.0,0.0,0.0797960695086141,0.0705025749170273,0.0689655172413793,0.0,100.2,1,0,Báo bão,,0.4099091821014775,-1.265541738340426
215,MHC,380530.0,-0.0070453774495733,-2000.0,12850.0,0.19283845774332684,2150.0,536.8891878218446,320600.0,916054.6,-0.2640171897669464,0.1901937204195375,0.3313356751838202,0.1271929824561403,-0.241701722327284,916054.6,0,2,Tiềm năng,MHC,2.6644726746406513,-2.8446102465135543
216,MIG,32435908.0,-0.0010578911938426,102570.0,18100.0,0.0372492836676217,650.0,173.20508075688906,396600.0,307058.2,1.435295201252648,0.0064501465831375,0.007826363453028,0.0197183098591549,0.1172289831981869,307058.2,1,0,Báo bão,,-0.6483737028673116,-0.24799694802800007
217,MSB,742072426.0,0.0096326561679618,4225649.702883841,14450.0,0.0471014492753623,650.0,352.845575287547,17959500.0,18356661.4,-0.1893082123829667,0.0981371172790485,0.117315510572438,0.0321428571428571,0.038863886141663,18356661.4,2,1,Dẫn dắt,,3.540705306848354,3.974372180773587
218,MSH,6006914.0,-0.0658879540896094,-231000.0,37550.0,0.0231607629427792,850.0,359.5135602449283,223500.0,397342.8,-0.5769281004923534,0.0364497454902992,0.0476548357014637,0.0189959294436906,0.630718319035726,397342.8,1,0,Báo bão,,-0.5496673069928258,-0.37682571122289554
219,MSN,384895356.0,-0.0073010292346642,62015.0,75500.0,0.0457063711911356,3300.0,1265.7013865837362,8385300.0,7716078.0,-0.0866867214446236,0.0315702866180628,0.0393944393939748,0.0342465753424657,-0.0341506906011279,7716078.0,0,2,Tiềm năng,,2.520376272866587,0.7257938527000624
220,MWG,719583130.0,-0.0074853099795975,-988927.0,67500.0,0.0135135135135135,900.0,1084.8963084092466,5797700.0,9994403.4,-0.6017696957158354,0.0527254501417966,0.0635148901968897,0.0059612518628912,0.0676886922530293,9994403.4,2,1,Dẫn dắt,,1.9368599580851333,2.5849357581573003
221,NAB,34192117.0,0.2245011192085291,4225649.702883841,15500.0,0.0472972972972973,700.0,191.70289512680813,1940100.0,1795556.2,0.3679592510174554,0.080882357797786,0.1143038135683307,0.0299003322259136,1.0474994657009982,1795556.2,1,0,Báo bão,,0.035521372683552294,-0.28823500252039264
222,NAF,14405170.0,0.0133980831138424,162950.0,27150.0,0.19283845774332684,4600.0,1412.179167103098,738500.0,1216401.2,-0.3567017134295595,0.1176158251050949,0.1614354410171595,0.1265560165975103,0.112402527892363,1216401.2,0,2,Tiềm năng,,3.5460947778785905,-3.465876656495947
223,NAV,60865.0,0.0066153973373026,0.0,18000.0,0.0256410256410255,450.0,122.4744871391463,5100.0,3534.0,2.642857142857143,0.0066784783674337,0.0083627159254102,0.0112359550561797,-0.1080090862460614,3534.0,1,0,Báo bão,,-0.9802621773374484,-0.1900465607701457
224,NBB,452501.0,-0.0220444736449673,0.0,23600.0,-0.0327868852459016,-800.0,300.83217912982724,22600.0,66287.4,-0.748136095663706,0.0297313911325888,0.0458782767674576,-0.0327868852459016,-0.0976706993884115,66287.4,1,0,Báo bão,,-1.9018344622464893,0.7070439455789777
225,NCT,4180801.0,3.707560984600456e-05,0.0,109200.0,0.009242144177449,1000.0,83.66600265340756,2200.0,5812.8,-0.6433203631647211,-0.0241808019129584,-0.0252464300937501,0.0018348623853211,0.0434222584715644,5812.8,1,0,Báo bão,,-1.1629797833935576,-0.06022542427515779
226,NHA,865130.0,-0.3207901203551773,-2500.0,24100.0,0.0501089324618735,1150.0,414.4273157020404,944300.0,1236845.6,-0.2447466986161021,-0.0022516241785071,-0.002857775351648,0.0455531453362256,1.4570995245587826,1236845.6,1,0,Báo bão,,-0.11842145210748568,-0.6809782695767962
227,NHH,336260.0,0.020330137152567,1000.0,13150.0,0.1585903083700439,1800.0,443.56510232433897,120100.0,593109.8,-0.8125976216594083,0.0195103616389762,0.0260305838374408,0.0867768595041322,-0.0574615988339499,593109.8,0,2,Tiềm năng,,1.2338866229431664,-2.0081478229934357
228,NHT,722690.0,0.0,0.0,10500.0,-0.032258064516129,-350.0,164.31676725154983,10581.0,2716.8,0.0,0.001608252742441,0.0017754710053028,-0.0277777777777777,-0.0261686272924499,2716.8,1,0,Báo bão,,-1.9296147267695192,0.6526221178292462
229,NLG,189746620.0,0.022848243930456,2930400.0,41800.0,0.0515723270440251,2050.0,657.6473218982878,2060800.0,2892373.0,-0.1523551881843051,0.054044388564977,0.0749272252332962,0.0072289156626506,0.1106115530054848,2892373.0,1,0,Báo bão,,0.7701990449015774,-0.044912142061386696
