,code,foreign_holding,foreign_room_growth,sum_foreign_net_buy_3,close,close_pct_change_5,momentum_5,volatility_5,volume,vol_MA5,volume_change_3,sharpe,sortino,price_growth_5,foreign_holding_growth,avg_volume_5
173,HTI,1702442.0,-0.10366748063276654,10600.0,22400.0,0.013574660633484115,300.0,134.16407864999434,137200,142648.8,-0.1971913399648918,0.17112407084822093,0.2751400248231799,-0.0044444444444444444,-0.5531360940532921,142648.8
174,HTG,7065.0,,7065.0,47400.0,0.0031746031746031633,150.0,258.8435821108957,11500,23005.0,-0.640625,0.009973784663357934,0.012945856614936345,0.09468822170900693,0.0,21458.4
175,HTL,3633369.0,2.752342312106748e-05,100.0,27300.0,-0.0072727272727273196,-200.0,178.88543819998318,200,561.2,-0.6,-0.01966695466091883,-0.02148361294898878,-0.01444043321299639,0.00044882079907173944,561.2
176,HTV,770370.0,,770370.0,11450.0,0.12254901960784315,1250.0,639.7265040624783,8600,23847.2,-0.5981308411214954,0.08641693973728963,0.11501486676281959,0.2722222222222222,-0.001814011946564391,5718.4
177,HU1,1701.0,0.0,0.0,6240.0,-0.06865671641791049,-460.0,0.0,700,422.4,57.333333333333336,0.03542813548503745,0.041863867894737866,-0.06865671641791045,-0.19038553069966682,422.4
178,HTN,1554805.0,-0.1362698287044367,-64800.0,10900.0,0.028301886792452935,300.0,284.16544476765625,572500,885339.8,-0.3084404093066405,0.03169212205796621,0.04484397161605722,0.05825242718446602,0.7454872653260092,885339.8
179,HUB,349521.0,0.14814255164688617,200.0,18500.0,0.11111111111111116,1850.0,704.8049375536481,68000,112029.0,-0.47398141916718883,0.07668532111652632,0.09869709470294777,0.10119047619047619,0.1759554274063582,112029.0
180,HVH,119890.0,-0.7759860983949626,-130300.0,13550.0,-0.010948905109489093,-150.0,114.01754250990972,154800,232577.0,-0.31643255512035295,0.10842474785741459,0.17922131202822508,0.011194029850746268,-0.9102037698088731,232577.0
181,HVN,199241147.0,-0.001904105929164901,521500.0,33050.0,0.03281249999999991,1050.0,238.2225849914495,665300,1167800.0,-0.5910124792524744,0.10927369601813894,0.19060451038505258,-0.0015105740181268882,0.15281586209022618,1167800.0
182,HVX,416500.0,0.012150668286755817,3000.0,3030.0,-0.04113924050632911,-130.0,101.09401564880089,24200,35481.2,2.731113166820845,0.05906671477720687,0.09081943174737332,-0.0380952380952381,0.04203152364273205,35481.2
183,ICT,79160.0,,79160.0,13450.0,0.026717557251908497,350.0,180.27756377319957,56600,66039.0,-0.42585867602604943,0.03085825439451397,0.03922125011321648,0.09349593495934959,-0.5291794542383366,30875.0
