,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
1101,IPA,HNX,STOCK,Tập đoàn Đầu tư I.P.A,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,STX
1102,INN,HNX,STOCK,Bao bì và In Nông Nghiệp,Công ty Cổ phần Bao bì và In Nông nghiệp,STX
1103,ING,UPCOM,STOCK,Đầu Tư Và Pt Xây Dựng,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,UPX
1104,INC,HNX,STOCK,Tư vấn Đầu tư IDICO,Công ty Cổ phần Tư vấn Đầu tư IDICO,STX
1105,IN4,UPCOM,STOCK,In số 4,Công ty Cổ phần In số 4,UPX
1106,IMP,HSX,STOCK,IMEXPHARM,Công ty Cổ phần Dược phẩm IMEXPHARM,STO
1107,IME,UPCOM,STOCK,Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,UPX
1108,ILS,UPCOM,STOCK,TM và Dịch vụ Quốc tế,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,UPX
1109,ILC,UPCOM,STOCK,Hợp tác lao động với nước ngoài,Công ty Cổ phần Hợp tác lao động với nước ngoài,UPX
1110,ILB,HSX,STOCK,ICD Tân Cảng Long Bình,Công ty Cổ phần ICD Tân Cảng - Long Bình,STO
1111,ILA,UPCOM,STOCK,Công ty ILA,Công ty Cổ phần ILA,UPX
1112,IJC,HSX,STOCK,Becamex IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,STO
1113,IHK,UPCOM,STOCK,In Hàng Không,Công ty Cổ phần In Hàng Không,UPX
1114,IFS,UPCOM,STOCK,Thực phẩm Quốc tế,Công ty Cổ phần Thực phẩm Quốc tế,UPX
1115,IDV,HNX,STOCK,PT Hạ tầng Vĩnh Phúc,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,STX
1116,IDP,UPCOM,STOCK,Sữa Quốc tế LOF,Công ty Cổ phần Sữa Quốc tế LOF,UPX
1117,IDJ,HNX,STOCK,Đầu tư IDJ Việt Nam,Công ty Cổ phần Đầu tư IDJ Việt Nam,STX
1118,IDI,HSX,STOCK,Đầu tư và PT Đa Quốc Gia,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,STO
1119,IDC,HNX,STOCK,IDICO,Tổng Công ty IDICO - CTCP,STX
1120,ICT,HSX,STOCK,Viễn thông - Tin học Bưu điện,Công ty Cổ phần Viễn thông - Tin học Bưu điện,STO
1121,ICN,UPCOM,STOCK,XD Dầu Khí IDICO,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,UPX
1122,ICI,UPCOM,STOCK,Đầu tư và XD Công nghiệp,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,UPX
1123,ICG,HNX,STOCK,Xây dựng Sông Hồng,Công ty Cổ phần Xây dựng Sông Hồng,STX
1124,ICF,UPCOM,STOCK,ĐT TM Thủy sản,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,UPX
1125,ICC,UPCOM,STOCK,Xây dựng công nghiệp,Công ty Cổ phần Xây dựng công nghiệp,UPX
1126,IBN,DELISTED,STOCK,In báo Nghệ An,Công ty Cổ phần In báo Nghệ An,
1127,IBD,UPCOM,STOCK,In Tổng hợp Bình Dương,Công ty Cổ phần In Tổng hợp Bình Dương,UPX
1128,IBC,UPCOM,STOCK,Đầu tư APAX Holdings,Công ty Cổ phần Đầu tư APAX Holdings,UPX
1129,HWS,UPCOM,STOCK,Cấp nước Huế,Công ty Cổ phần Cấp nước Huế,UPX
1130,HVX,HSX,STOCK,Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,STO
1131,HVT,HNX,STOCK,Hóa chất Việt trì,Công ty Cổ phần Hóa chất Việt Trì,STX
1132,HVN,HSX,STOCK,Vietnam Airlines,Tổng Công ty Hàng không Việt Nam - CTCP,STO
1133,HVH,HSX,STOCK,Đầu tư và Công nghệ HVC,Công ty Cổ phần Đầu tư và Công nghệ HVC,STO
1134,HVG,UPCOM,STOCK,Thủy sản Hùng Vương,Công ty Cổ phần Hùng Vương,UPX
1135,HVA,UPCOM,STOCK,Đầu tư HVA,Công ty Cổ phần Đầu tư HVA,UPX
1136,HUX,DELISTED,STOCK,,,
1137,HUT,HNX,STOCK,Tasco- CTCP,Công ty Cổ phần Tasco,STX
1138,HUG,UPCOM,STOCK,May Hưng Yên,Tổng công ty May Hưng Yên - Công ty Cổ phần,UPX
1139,HUB,HSX,STOCK,Xây lắp Huế,Công ty Cổ phần Xây lắp Thừa Thiên Huế,STO
1140,HU6,UPCOM,STOCK,PT Nhà và Đô thị HUD6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,UPX
1141,HU4,UPCOM,STOCK,Đầu tư và Xây dựng HUD4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,UPX
1142,HU3,UPCOM,STOCK,Xây dựng HUD3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,UPX
1143,HU1,HSX,STOCK,Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,STO
1144,HTW,DELISTED,STOCK,Cấp nước Hà Tĩnh,Công ty Cổ phần Cấp nước Hà Tĩnh,
1145,HTV,HSX,STOCK,Logistics Vicem,Công ty Cổ phần Logistics Vicem,STO
1146,HTT,UPCOM,STOCK,Thương mại Hà Tây,Công ty Cổ phần Thương mại Hà Tây,UPX
1147,HTR,DELISTED,STOCK,Đường sắt Hà Thái,Công ty Cổ phần Đường sắt Hà Thái,
1148,HTP,UPCOM,STOCK,In SGK Hòa Phát,Công ty Cổ phần In Sách Giáo Khoa Hòa Phát,UPX
1149,HTN,HSX,STOCK,Hưng Thịnh Incons,Công ty Cổ phần Hưng Thịnh Incons,STO
1150,HTM,UPCOM,STOCK,Thương mại Hà Nội - Hapro,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,UPX
1151,HTL,HSX,STOCK,Ô tô Trường Long,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,STO
1152,HTK,DELISTED,STOCK,,,
1153,HTI,HSX,STOCK,PT Hạ tầng IDICO,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,STO
1154,HTH,DELISTED,STOCK,Hoa tiêu Hàng hải - TKV,Công ty Cổ phần Hoa tiêu Hàng hải - TKV,
1155,HTG,HSX,STOCK,Dệt may Hòa Thọ,Tổng Công ty Cổ phần Dệt may Hòa Thọ,STO
1156,HTE,UPCOM,STOCK,Kinh doanh điện lực TP HCM,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,UPX
1157,HTC,HNX,STOCK,Thương mại Hóc Môn,Công ty Cổ phần Thương mại Hóc Môn,STX
1158,HT1,HSX,STOCK,VICEM Hà Tiên,Công ty Cổ phần Xi măng VICEM Hà Tiên,STO
1159,HSV,UPCOM,STOCK,Tập đoàn HSV Việt Nam,Công ty Cổ phần Tập đoàn HSV Việt Nam,UPX
1160,HSP,UPCOM,STOCK,Sơn Tổng hợp Hà Nội,Công ty Cổ phần Sơn Tổng hợp Hà Nội,UPX
